"","ID","high_color","low_color","task","open_response","category","aware_binary","mentioned_speed_account","color_mentioned_text","mapping_stated","justification","rater_confidence","needs_human_review"
"17","13975","green","pink","L","A lo largo de cada bloque, he visto como cada vez que aparecía el círculo verde, se daban los puntos extras, y de hecho cada vez que salía en verde trataba de darle incluso más rápido a la respuesta que creía correcta. ","correct",1,"VERDADERO","círculo verde / en verde","high_more","El participante afirma explícitamente que cuando aparecía el círculo verde “se daban los puntos extras”, indicando que el verde estaba asociado a mayor recompensa. También menciona que intentaba responder más rápido cuando salía verde.",95,"FALSO"
"18","13984","blue","orange","L","La verdad es que no he pensado en que momento podía ganar puntos o no, pero el hecho de ganarlos me motivaba a ir mas deprisa ","none",0,"VERDADERO","","","El participante dice que no pensó en qué momento podía ganar puntos o no, y atribuye su motivación a ir más deprisa cuando ganaba puntos, sin mencionar ningún color ni una relación color?puntos.",92,"FALSO"
"19","13987","pink","green","C","Si he pensado que los puntos extras podían estar relacionados con el distractor. También he pensado que estos puntos extras podrían estar relacionados con la posición del rombo.","none",0,"FALSO","","unclear","El participante sugiere que los puntos extra podían estar relacionados con el distractor (posiblemente su color), pero no menciona ningún color específico (rosa/verde) ni establece qué color daba más o menos puntos; además plantea otra posible fuente (posición del rombo).",9,"FALSO"
"20","14092","pink","green","C","de mi rapidez","none",0,"VERDADERO","","","El participante atribuye los puntos únicamente a su rapidez (“de mi rapidez”) y no menciona ningún color ni una relación color-recompensa.",95,"FALSO"
"21","14113","orange","blue","L","He pensado que cuando recibía puntos extra había algún círculo con color, pero no que dependía de si fuese azul o naranja.","none",0,"FALSO","azul o naranja","","Indica que notó puntos extra cuando había algún círculo con color, pero explícitamente niega que dependiera de si era azul o naranja, por lo que no reporta una relación color?recompensa ni un mapeo específico.",91,"FALSO"
"22","144347EX","orange","blue","C","He tenido la sensación de que se preguntaba más veces de que color era el distractor cuando este era naranja, a parte de eso, no he notado de dependiese de nada","none",0,"FALSO","naranja","","Menciona que se preguntaba más veces por el color del distractor cuando era naranja, pero explícitamente dice que aparte de eso no ha notado que dependiese de nada. No indica relación color-puntos ni un mapeo de recompensa/castigo por color.",9,"FALSO"
"23","146206BP","green","pink","C","No he pensados sobre el tema, estaba enfocándome en poner bien los colores y las formas ","none",0,"FALSO","colores","","Dice que no ha pensado sobre el tema y que estaba enfocado en poner bien los colores y las formas; no menciona puntos/bonos ni ninguna relación color-recompensa.",9,"FALSO"
"24","153368DX","pink","green","L","Creo que dependían del color, ya que, el color rojo es más fácil de detectar que el verde","correct",1,"FALSO","rojo, verde","unclear","El participante sugiere que los puntos dependían del color, pero no indica explícitamente qué color daba más o menos puntos. Además menciona rojo (fuera del par real pink/green) y atribuye la diferencia a facilidad de detección, no a un mapeo de puntos por color.",88,"FALSO"
"25","160857SU","green","pink","C","He pensado que cuando presionaba el boton ""B"" a veces obtenia mas puntos","none",0,"FALSO","","","El participante atribuye la variación de puntos a presionar el botón ""B"" y no menciona ningún color ni una relación color?puntos; por tanto no reporta conciencia del mapeo por color.",9,"FALSO"
"26","167400VT","orange","blue","C","Creia que cuando acertaba varias veces de forma rápida era cuando se iba a preguntar el color ","none",0,"VERDADERO","el color","","Atribuye que se preguntaba el color a haber acertado varias veces rápido, sin indicar que los puntos/bonus dependieran de un color específico ni mencionar un mapeo naranja/azul.",9,"FALSO"
"27","167805PX","green","pink","C","Me he preguntado por que a veces sumaban mas pero no me he tomado tiempo en pensar que podría haber un patrón específico","none",0,"FALSO","","","El participante solo comenta que a veces sumaban más pero que no se tomó tiempo en pensar si había un patrón; no menciona ningún color ni una relación explícita color?puntos.",91,"FALSO"
"28","18004","orange","blue","L","No he pensado sobre esa cuestión.","none",0,"FALSO","","","El participante indica que no ha pensado sobre la cuestión, sin mencionar colores ni relación alguna entre color y puntos/recompensa.",95,"FALSO"
"29","19252","orange","blue","C","none","none",0,"FALSO","","","El participante respondió literalmente ""none"", sin mencionar colores, puntos/recompensa ni ninguna relación color-recompensa.",99,"FALSO"
"30","19381","blue","orange","C","none","none",0,"FALSO","","","El participante respondió literalmente ""none"", sin mencionar colores ni relación entre color y puntos/recompensa.",98,"FALSO"
"31","20821","orange","blue","L","No he pensado eso sinceramente, solo estaba pendiente de darle a las teclas adecuadas y recordar bien las instrucciones.","none",0,"FALSO","","","El participante dice que no lo pensó y que solo estaba pendiente de pulsar las teclas adecuadas y recordar las instrucciones; no menciona colores ni relación color-puntos.",94,"FALSO"
"32","232134EC","blue","orange","L","En ningun momento he podido pensar que los puntos extras tenian relación con algo más alla del tiempo de respuesta","none",0,"VERDADERO","","","El participante niega una relación distinta al tiempo de respuesta: indica que no pudo pensar que los puntos extra tuvieran relación con algo más allá del tiempo, sin mencionar colores ni un mapeo color-recompensa.",93,"FALSO"
"33","234883TW","orange","blue","C","He pensado constantemente que la adquisición de puntos extra estaba relacionada con la presencia de distractores (colores naranja o azul) en el ensayo. Me atrevería incluso a decir que, durante los bloques, pensaba que el color naranja era más frecuente que el color azul a la hora de las preguntas de los ensayos de reporte, e incluso, que un acierto de un ensayo con un distractor naranja, implicaba un mayor aumento de puntos ganados en comparación con el distractor color azul. ","correct",1,"FALSO","naranja o azul","high_more","El participante afirma explícitamente que un acierto con distractor naranja implicaba un mayor aumento de puntos ganados en comparación con el distractor azul, lo que coincide con el mapeo real (alta recompensa = naranja; baja = azul).",93,"FALSO"
"34","23938","orange","blue","C","none","none",0,"FALSO","","","El participante escribió explícitamente ""none"", sin mencionar colores ni relación entre color y puntos/recompensa.",99,"FALSO"
"35","23974","green","pink","L","Me vino un pensamiento sobre los fallos. A lo mejor, cada vez que fallara el siguiente era de puntos extra","none",0,"FALSO","","","El participante no menciona ningún color ni un mapeo color?puntos; solo especula que tras fallar el siguiente intento podía dar puntos extra.",92,"FALSO"
"36","24088","pink","green","C","En si cambiababa de manera muy drástica la posición del rombo","none",0,"FALSO","","","El participante solo menciona que cambiaba drásticamente la posición del rombo, sin referirse a colores ni a puntos/recompensa ni a un mapeo color-recompensa.",93,"FALSO"
"37","24193","green","pink","C","none","none",0,"FALSO","","","El participante respondió literalmente ""none"", sin mencionar colores, puntos/recompensa ni ninguna relación color-recompensa.",99,"FALSO"
"38","24319","pink","green","C","Creo que dependían del nivel de atención puesto en éstos sobre los otros que no daban puntos extras, como una forma de incitar a responder correctamente","none",0,"FALSO","","","Atribuye los puntos extra al nivel de atención o a responder correctamente, sin mencionar colores ni una relación color?puntos.",9,"FALSO"
"39","24475","blue","orange","L","Yo creo que cuando la barrita del fondo era horizontal el color era naranja y cuando era vertical ,el color era azul.Pero no he llegado a pensar en que preguntas y por que me daban puntuacion extra o me restaban.Pensaba que era al azar","none",0,"FALSO","naranja, azul","","Menciona los colores (naranja/azul) en relación con la orientación de la barra, pero explícitamente dice que no pensó en por qué le daban o restaban puntuación extra y que pensaba que era al azar; no atribuye la puntuación al color ni da un mapeo color-recompensa.",93,"FALSO"
"40","24574","green","pink","L","Durante el experimento no se me ha pasado por la cabeza la idea de que las sumas o restas de puntos dependían de algo, pensaba que era algo al azar. ","none",0,"FALSO","","","El participante afirma que no pensó que las sumas o restas de puntos dependieran de algo y que creía que era al azar, negando una relación con el color o cualquier mapeo específico.",98,"FALSO"
"41","24688","green","pink","C","Durante el experimento he pensado que a lo mejor los ensayos en los que podía ganar puntos extra dependían de la racha de aciertos que llevaba.","none",0,"FALSO","","","Atribuye los puntos extra a la ""racha de aciertos"" (desempeño) y no menciona ningún color ni una relación color?puntos.",93,"FALSO"
"42","24739","blue","orange","L","Durante el experimento pensaba que debía haber algún mecanismo para los puntos extra, pero cada vez que lo pensaba fallaba, por lo que decidí dejar de pensar en ello y decir para mí que solo consistía en azar.","none",0,"FALSO","","","El participante dice que pensó que podía haber un mecanismo para los puntos extra, pero finalmente concluyó que era azar y decidió dejar de pensar en ello. No menciona colores ni un mapeo color-recompensa.",93,"FALSO"
"43","25165","orange","blue","C","Durante el experimento he pensado que el ganar puntos extra podía estar relacionado con la cantidad de aciertos anteriores. E","none",0,"FALSO","","","El participante atribuye los puntos extra a la cantidad de aciertos anteriores, sin mencionar colores ni una relación color-recompensa.",92,"FALSO"
"44","25351","blue","orange","C","Aunque pensaba que los puntos estaban relacionados con el tiempo en que tardaba en elegir una respuesta u otra me confundía que, a veces, aunque tardaba poco no me los dieran.","none",0,"VERDADERO","","","Atribuye los puntos al tiempo de respuesta y expresa confusión cuando a veces no los recibía pese a responder rápido; no menciona colores ni un mapeo color->puntos.",94,"FALSO"
"45","25357","blue","orange","L","En la mayoría de ocasiones, los puntos extra se conseguían cuando salían los colores, o esa era mi impresión, sobre todo cuando salía el color azul, por lo que intentaba fijarme más","correct",1,"FALSO","azul","unclear","El participante indica que su impresión era que los puntos extra se conseguían cuando aparecían ciertos colores y menciona especialmente el azul, pero no afirma explícitamente que el azul diera MÁS puntos que el otro color del par (no establece un mapeo color?más/menos puntos de forma explícita).",84,"FALSO"
"46","25633","blue","orange","C","none","none",0,"FALSO","","","El participante respondió literalmente ""none"", sin mencionar colores, puntos/recompensa ni ninguna relación color-recompensa.",99,"FALSO"
"47","25693","green","pink","C","Durante el experimento, no he pensado sobre esta cuestión. Me he dedicado a responder lo más rápido posible y a retener el color que había visto. ","none",0,"VERDADERO","el color","","El participante dice que no pensó sobre la cuestión y que se dedicó a responder lo más rápido posible y a retener el color visto; no menciona ninguna relación entre color y puntos ni un mapeo específico (verde/rosa).",9,"FALSO"
"48","25708","blue","orange","C","He pensado que los puntos extras ocurrían cuando se presentaba el distractor naranja mayormente.","none",0,"FALSO","naranja","low_more","El participante afirma que los puntos extras ocurrían mayormente cuando aparecía el distractor naranja, indicando que el naranja daba más puntos. En el mapeo real, el naranja era baja recompensa y el azul era alta recompensa, por lo que el mapeo reportado no coincide.",93,"FALSO"
"49","25711","orange","blue","L","He pensado que no entendía el sistema de puntos pero tampoco me iba a poner a buscar la explicación porque quería estar atenta a la prueba en sí.","none",0,"FALSO","","","La participante indica que no entendía el sistema de puntos y no buscó explicación; no menciona colores ni una relación color-puntos, ni un mapeo específico.",95,"FALSO"
"50","25744","blue","orange","C","No he pensado sobre ello durante el experimento","none",0,"FALSO","","","El participante dice que no pensó sobre ello durante el experimento y no menciona ninguna relación entre color y puntos ni un mapeo específico.",92,"FALSO"
"51","25765","pink","green","L","Durante el experimento he sido consciente de que se me sumaban más puntos en algunos momentos que en otros, pero no he pensado la razón al estar altamente concentrada en la tarea. 
","none",0,"FALSO","","","La participante solo indica que a veces se sumaban más puntos que en otros momentos, pero explícitamente dice que no pensó la razón y no menciona ningún color ni una relación color-puntos.",92,"FALSO"
"52","25774","green","pink","C","La verdad es que en ningún momento he estado pensando sobre si el color que aparecería sería rosa o verde. Estaba pensando que quería terminar relativamente pronto, me he acordado de los animales de experimentación animal y creo que he empatizado un poco con los ratones de laboratorio, además pensaba en todo lo que tengo que hacer (aunque he intentado concentrarme pero la verdad que son las 19:00 de la tarde de un día laboral intenso). Muchas gracias, espero que los resultados os sirvan.  ","none",0,"FALSO","rosa o verde","","El participante menciona los colores (rosa/verde) pero no indica ninguna relación entre color y puntos/recompensa; describe pensamientos y deseo de terminar pronto sin hablar de puntos ni mapeo color-recompensa.",9,"FALSO"
"53","25780","pink","green","C","He pensado que sucedía solo cuando el color del distractor era rosa, aunque durante algún momento he dudado sobre si sucedía cuando el color del distractor era rosa y el anterior había sido verde.","correct",1,"FALSO","rosa; verde","unclear","El participante sugiere que el efecto (puntos/bonus) ocurría cuando el distractor era rosa y duda si dependía de rosa y del color anterior verde, pero no afirma explícitamente que el rosa diera MÁS puntos que el verde ni especifica un mapeo claro color?magnitud de recompensa/castigo.",88,"FALSO"
"54","25792","blue","orange","L","none","none",0,"FALSO","","","El participante respondió literalmente ""none"" sin mencionar colores, puntos/recompensa ni ninguna relación entre ellos.",98,"FALSO"
"55","262175XK","pink","green","C","No he pensado sobre esto durante el experimento, pero sí me llamaba la atención como en algunas ocasiones recibía tantos puntos y en otras ocasiones 0.","none",0,"FALSO","","","El participante dice que no pensó sobre ello durante el experimento y solo notó variación en puntos (a veces muchos, otras 0) sin atribuirlo a ningún color ni indicar un mapeo color-recompensa.",92,"FALSO"
"56","274072MC","orange","blue","L","he pensado que podían depender del tiempo de reacción que tuviera","none",0,"VERDADERO","","","Atribuye la variación a su tiempo de reacción (“podían depender del tiempo de reacción”), sin mencionar colores ni un mapeo color?puntos.",92,"FALSO"
"57","316736JX","blue","orange","C","No he pensado nada sobre esa cuestión mientras realizada el experimento.","none",0,"FALSO","","","El participante indica que no pensó nada sobre esa cuestión durante el experimento, sin mencionar colores ni relación con puntos/recompensa.",93,"FALSO"
"58","320862OL","orange","blue","L","He pensado que eran eventos aleatorios. Al principio pensaba que eran recompensas por responder rápido, pero vi que no.","none",0,"VERDADERO","","","El participante dice que los puntos eran eventos aleatorios y descarta la idea inicial de que fueran recompensas por responder rápido; no menciona ningún color ni una relación color-recompensa.",92,"FALSO"
"59","353842WF","orange","blue","C","Cuando no había distractor nunca se ganaban puntos extra. En cuanto a cuándo se ganaban los puntos extra si había distractor ya no tengo ni idea, pero en la mayoría de ensayos se podía ganar puntos extra. ","none",0,"FALSO","","","El participante menciona puntos extra en presencia/ausencia de distractor, pero dice que no tiene idea de cuándo se ganaban si había distractor y no menciona ningún color ni un mapeo color?recompensa.",93,"FALSO"
"60","362868UO","orange","blue","L","No he pensado sobre esta cuestión ya que estaba centrada en acertar lo máximo posible y no quería distraerme con ningún otro pensamiento.","none",0,"FALSO","","","La participante dice que no pensó sobre esa cuestión porque estaba centrada en acertar y no menciona ninguna relación entre color y puntos ni ningún mapeo específico.",93,"FALSO"
"61","377030SN","blue","orange","L","sinceramente me han parecido aleatorios o creia q a lo mejor estaba relacionado con el tiempo de respuesta pero habia veces q tenia bono y la respuesta habia sido mas lenta q en otros sin bono, siendo honesta, he prestado bastante poca atencion a los distractores por lo q ni siquiera me he parado a analizar de q color eran, llegue a pensar en un momento viendolos de refilon q  dependiendo del color estaba en la izq o drcha, pero evidentemente no creo q sea asi.","none",0,"VERDADERO","","","La participante dice que los bonos le parecieron aleatorios y que pensó que podían estar relacionados con el tiempo de respuesta; además indica que no prestó atención a los distractores ni a su color y no establece ningún mapeo color->puntos (solo menciona vagamente que quizá el color se relacionaba con izquierda/derecha pero lo descarta).",9,"FALSO"
"62","416843EP","pink","green","C","No he pensado que los puntos extras dependian de algo","none",0,"FALSO","","","El participante dice que no pensó que los puntos extra dependieran de algo, negando una relación sistemática (no menciona colores ni un mapeo).",95,"FALSO"
"63","432886IN","green","pink","L","En realidad pensaba que después de no aparecer ningún color distractor era cuando podía ganar los puntos extra","none",0,"FALSO","","","El participante atribuye los puntos extra a la ausencia de un distractor de color (“después de no aparecer ningún color distractor”), sin mencionar ningún color específico ni un mapeo color?puntos.",93,"FALSO"
"64","447847KN","pink","green","L","Creo que la puntuación únicamente servía como motivación para realizar de la mejor manera posible la tarea. Las puntuaciones que se sumaban o restaban cuando acertaba o fallaba se sumaban o restaban un número al azar. Al principio pensé que cuanto más rápido respondía bien, más puntos obtenía, pero a medida que iba realizando la actividad he ido viendo que aunque respondiera a la misma velocidad, los puntos sumados no eran iguales. ","none",0,"VERDADERO","","","El participante niega una relación sistemática y atribuye la variación de puntos a un número al azar; solo menciona que inicialmente pensó que dependía de la rapidez, pero luego lo descartó. No menciona colores ni un mapeo color-recompensa.",95,"FALSO"
"65","467688QR","orange","blue","C","No he pensado en que pudiera haber una relación, estaba centrada en el rombo y en los colores por si luego salía la R y me preguntaban","none",0,"FALSO","los colores","","La participante dice explícitamente que no pensó en que pudiera haber una relación y no menciona puntos/bonificaciones ni un mapeo color-recompensa específico (solo que estaba centrada en el rombo y los colores por la posible pregunta con la R).",93,"FALSO"
"66","468374HG","green","pink","C","Me extraño lo de los puntos extra y pensé en los colores, pero como estaba concentrada en el experimento tampoco le di mas vueltas","none",0,"FALSO","","unclear","La participante dice que le extrañaron los puntos extra y que pensó en los colores, pero no especifica qué color (verde o rosa) daba más o menos puntos ni afirma un mapeo concreto color?recompensa.",9,"FALSO"
"67","503535JW","pink","green","L","Yo me he dado cuenta que cuando el distractor era de color rojo, me daban puntos extras. Aunque a lo largo del experimento he pensado la psoibilidad de que cuanto más cerca o lejos estuviera el distractor del rombo también podía afectar al sumatorio, pero no he sabido ver estaba en lo cierto. Y me he dado cuenta también que cuando no había distractor obtenías menor puntuación que si había.","correct",1,"FALSO","rojo","unclear","El participante afirma explícitamente que con distractor de color rojo le daban puntos extra. Sin embargo, el mapeo real para este participante era rosa (alta recompensa) y verde (baja), por lo que el mapeo declarado no coincide con el real y además usa un color fuera del par relevante.",9,"FALSO"
"68","513588IN","pink","green","L","No he pensado que el color tuviera mucha importancia. Creo que importaba más la posición del rombo y la del distractor","none",0,"FALSO","el color","","Niega que el color tuviera importancia y atribuye el desempeño a la posición del rombo/distractor; no menciona relación color-puntos ni un mapeo específico.",93,"FALSO"
"69","517875XD","pink","green","C","En varias ocasiones pensé que el color rosa estaba relacionado con los puntos extra que conseguía. Aunque en algunas ocasiones era el verde quien los daba. ","none",0,"FALSO","rosa, verde","unclear","El participante sugiere una relación entre el color (rosa/verde) y los puntos extra, pero expresa duda/inconsistencia (“pensé que…”, “aunque… era el verde”), sin afirmar explícitamente un mapeo claro de qué color daba más puntos de forma consistente.",84,"FALSO"
"70","521018NO","pink","green","L","En las primeras rondas no lo pensé, de hecho suponía que estaba relacionado con mi tiempo de respuesta, pero en las siguientes rondas, fui dándome cuenta de que parecía que se repetía un patrón: cuando el color dl distractor era rosa, parecía sumar muchos más puntos que cuando era verde, a pesar de que quizá hubiese tardado menos con el segundo. No obstante, en alguna de las ocasiones, se ganaban 0 puntos o mi suposición no se cumplía. Intentaba asociarlo de nuevo a mi TR, aunque no estoy segura de que se debiera a eso","correct",1,"VERDADERO","rosa, verde","high_more","La participante afirma explícitamente que cuando el distractor era rosa ""parecía sumar muchos más puntos"" que cuando era verde, incluso controlando que a veces respondía más rápido con el verde. Esto coincide con el mapeo real (rosa = alta recompensa; verde = baja).",9,"FALSO"
"71","535336MN","green","pink","L","Yo creo que dependían de algo pero exactamente no se de que. Yo creo que dependían del color pero tampoco pensaba mucho en ello sino que cuando salía pues seguía haciéndolo igual que antes","none",0,"FALSO","","unclear","El participante sugiere que los puntos “dependían del color”, pero dice que no sabe exactamente de qué y no especifica ningún mapeo concreto (p. ej., verde más que rosa).",9,"FALSO"
"72","537354YQ","blue","orange","L","Pensaba que los puntos que te daban era aleatorios porque algunas veces te dan 300 puntos por responder rápido y otras veces 30 o 40. No he pensado para minada en el color, pero si es verdad que cuando aparece el color azul recuerdas menos dónde estaba.","correct",1,"VERDADERO","color azul","","El participante dice que pensaba que los puntos eran aleatorios y los atribuye a responder rápido (300 vs 30/40). Además afirma explícitamente que no ha pensado en el color; solo menciona que con el color azul se recuerda menos la ubicación, sin relacionarlo con puntos/recompensa.",93,"FALSO"
"73","537582GF","green","pink","L","Durante el ensayo, estaba tan concentrada en teclear correctamente las letras que, sinceramente, nu cuenta me he dado de lo que variaba en la puntuación extra. Cierto es que no sabía de lo que dependía pero he pensado que podría ser cuando llevabas x números de aciertos seguidos. ","none",0,"FALSO","","","La participante dice que no se dio cuenta de qué variaba la puntuación extra y propone que quizá dependía de llevar varios aciertos seguidos, sin mencionar colores ni un mapeo color?puntos.",93,"FALSO"
"74","538664RD","orange","blue","L","Pensaba que te daban más puntos cuanto más rápido respondías.","none",0,"VERDADERO","","","Atribuye los puntos a la rapidez de respuesta (“cuanto más rápido respondías”) y no menciona ningún color ni una relación color?puntos.",95,"FALSO"
"75","541765MJ","green","pink","L","La verdad que no he pensado en ningún momento sobre eso, lo que sí he pensado es que los puntos me parecían arbitrarios y que no se relacionaban con las respuestas que estaba dando a veces, simplemente que funcionaban para motivarme o no","none",0,"FALSO","","","El participante dice que no pensó en una relación y que los puntos le parecían arbitrarios/no relacionados con sus respuestas, sin mencionar colores ni ningún mapeo color-recompensa.",94,"FALSO"
"76","572138MQ","blue","orange","L","No he pensado en eso.","none",0,"FALSO","","","El participante dice ""No he pensado en eso"", sin mencionar colores ni una relación entre color y puntos/recompensa.",96,"FALSO"
"77","572622AB","blue","orange","L","Creo que la ganancia de los puntos extras se producían unicamente cuando los distractores eran presentados con círculos de color azul","correct",1,"FALSO","azul","high_more","El participante afirma que los puntos extra se obtenían únicamente cuando los distractores eran de color azul, identificando explícitamente que el azul se asociaba con más recompensa, lo cual coincide con el mapeo real (alta recompensa = azul).",92,"FALSO"
"78","581026CQ","green","pink","L","He pensado que igual ocurría cuando había distractores, pero no cuando no había nignuna figura de color, aunque no me he fijado si ocurría en los ensayos en los que la figura era verde o rosa.","none",0,"FALSO","verde o rosa","unclear","El participante sugiere que podía haber una relación con la presencia de distractores/figuras de color y menciona explícitamente los colores verde y rosa, pero afirma que no se fijó en si ocurría en los ensayos con verde o con rosa; no especifica qué color daba más o menos puntos.",9,"FALSO"
"79","581286DQ","orange","blue","C","Solo he pensado que cuando aparecía el distractor naranja o azul era cuando daba puntos extra","none",0,"FALSO","naranja o azul","unclear","El participante indica que cuando aparecía el distractor naranja o azul era cuando daba puntos extra, sugiriendo una relación entre color y puntos, pero no especifica cuál de los dos colores (naranja vs azul) daba más/menos puntos.",93,"FALSO"
"80","5bf01b3e2a9d2c00013ddc2a","blue","orange","L","Sí, durante el experimento he percibido que el color azul podía darme puntos extra; mientras que el color naranja, podía quitarme más puntos. No he pensado, sin embargo, en la frecuencia con la que aparecían los colores.","correct",1,"FALSO","azul; naranja","high_more","El participante afirma explícitamente que el color azul podía dar puntos extra y que el naranja podía quitar más puntos, lo que coincide con el mapeo real (alta recompensa: azul; baja: naranja).",95,"FALSO"
"81","5d373c58d8bf24001dc16884","orange","blue","L","Sí, durante el mismo experimento ya pensé que cuando el distractor salía en color naranja ganaba más puntos.","correct",1,"FALSO","naranja","high_more","El participante afirma explícitamente que cuando el distractor era de color naranja ganaba más puntos, lo cual coincide con que naranja es el color de alta recompensa para este participante.",98,"FALSO"
"82","5d60061e45714d00019ad6a4","green","pink","C","La verdad es que no, solo estaba concentrado en responder bien.","none",0,"FALSO","","","El participante niega haber notado una relación (“La verdad es que no”) y atribuye su enfoque a “responder bien”, sin mencionar colores ni un mapeo color-puntos.",94,"FALSO"
